TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_KEY	EXTRA
recording_log_deletion_queue	filename	varchar		
recording_log_deletion_queue	location	varchar		
recording_log_deletion_queue	date_queued	datetime		
recording_log_deletion_queue	date_deleted	datetime	MUL	
recording_log_stereo	recording_id	int	PRI	
recording_log_stereo	server_ip	varchar		
recording_log_stereo	start_time	datetime	MUL	
recording_log_stereo	end_time	datetime		
recording_log_stereo	length_in_sec	mediumint		
recording_log_stereo	filename	varchar	MUL	
recording_log_stereo	lead_id	int	MUL	
recording_log_stereo	options	varchar		
recording_log_stereo	processing_log	text		
routing_initiated_recordings	recording_id	int	PRI	
routing_initiated_recordings	filename	varchar		
routing_initiated_recordings	launch_time	datetime		
routing_initiated_recordings	lead_id	int	MUL	
routing_initiated_recordings	vicidial_id	varchar		
routing_initiated_recordings	user	varchar	MUL	
routing_initiated_recordings	processed	tinyint	MUL	
server_live_drives	update_time	datetime		
server_live_drives	server_ip	varchar	MUL	
server_live_drives	drive_order	tinyint		
server_live_drives	drive_device	varchar		
server_live_drives	read_sec	decimal		
server_live_drives	write_sec	decimal		
server_live_drives	kb_read_sec	decimal		
server_live_drives	kb_write_sec	decimal		
server_live_drives	util_pct	decimal		
server_live_partitions	update_time	datetime		
server_live_partitions	server_ip	varchar	MUL	
server_live_partitions	partition_order	tinyint		
server_live_partitions	partition_path	varchar		
server_live_partitions	partition_filesystem	varchar		
server_live_partitions	use_pct	tinyint		
server_live_partitions	mb_used	bigint		
server_live_partitions	mb_available	bigint		
server_live_stats	update_time	datetime		
server_live_stats	server_ip	varchar	PRI	
server_live_stats	server_name	varchar		
server_live_stats	cpu_count	smallint		
server_live_stats	loadavg_1	decimal		
server_live_stats	loadavg_5	decimal		
server_live_stats	loadavg_15	decimal		
server_live_stats	freeram	int		
server_live_stats	usedram	int		
server_live_stats	processes	smallint		
server_live_stats	system_uptime	varchar		
server_live_stats	cpu_user_percent	decimal		
server_live_stats	cpu_sys_percent	decimal		
server_live_stats	cpu_idle_percent	decimal		
server_live_stats	cpu_iowait_percent	decimal		
server_live_stats	cpu_vm_percent	decimal		
server_live_stats	disk_reads	int		
server_live_stats	disk_writes	int		
server_live_stats	asterisk_channels_total	smallint		
server_live_stats	asterisk_agents_total	smallint		
server_live_stats	mysql_uptime	varchar		
server_live_stats	mysql_queries_per_second	int		
server_live_stats	mysql_connections	mediumint		
server_performance	start_time	datetime		
server_performance	server_ip	varchar		
server_performance	sysload	int		
server_performance	freeram	smallint		
server_performance	usedram	smallint		
server_performance	processes	smallint		
server_performance	channels_total	smallint		
server_performance	trunks_total	smallint		
server_performance	clients_total	smallint		
server_performance	clients_zap	smallint		
server_performance	clients_iax	smallint		
server_performance	clients_local	smallint		
server_performance	clients_sip	smallint		
server_performance	live_recordings	smallint		
server_performance	cpu_user_percent	smallint		
server_performance	cpu_system_percent	smallint		
server_performance	cpu_idle_percent	smallint		
server_performance	disk_reads	mediumint		
server_performance	disk_writes	mediumint		
server_updater	server_ip	varchar	PRI	
server_updater	last_update	datetime		
server_updater	db_time	timestamp		on update current_timestamp()
servers	server_id	varchar	PRI	
servers	server_description	varchar		
servers	server_ip	varchar		
servers	active	enum		
servers	asterisk_version	varchar		
servers	max_vicidial_trunks	smallint		
servers	telnet_host	varchar		
servers	telnet_port	int		
servers	ASTmgrUSERNAME	varchar		
servers	ASTmgrSECRET	varchar		
servers	ASTmgrUSERNAMEupdate	varchar		
servers	ASTmgrUSERNAMElisten	varchar		
servers	ASTmgrUSERNAMEsend	varchar		
servers	local_gmt	varchar		
servers	voicemail_dump_exten	varchar		
servers	answer_transfer_agent	varchar		
servers	ext_context	varchar		
servers	sys_perf_log	enum		
servers	vd_server_logs	enum		
servers	agi_output	enum		
servers	vicidial_balance_active	enum		
servers	balance_trunks_offlimits	smallint		
servers	recording_web_link	enum		
servers	alt_server_ip	varchar		
servers	active_asterisk_server	enum		
servers	generate_vicidial_conf	enum		
servers	rebuild_conf_files	enum		
servers	outbound_calls_per_second	smallint		
servers	sysload	int		
servers	channels_total	smallint		
servers	cpu_idle_percent	smallint		
servers	disk_usage	varchar		
servers	sounds_update	enum		
servers	vicidial_recording_limit	mediumint		
servers	carrier_logging_active	enum		
