TABLE_NAME,COLUMN_NAME
system_settings,outbound_calls_per_second
system_settings,enable_tts_integration
system_settings,agentonly_callback_campaign_lock
system_settings,sounds_central_control_active
system_settings,sounds_web_server
system_settings,sounds_web_directory
system_settings,active_voicemail_server
system_settings,auto_dial_limit
system_settings,user_territories_active
system_settings,allow_custom_dialplan
system_settings,db_schema_update_date
system_settings,enable_second_webform
system_settings,default_webphone
system_settings,default_external_server_ip
system_settings,webphone_url
system_settings,static_agent_url
system_settings,default_phone_code
system_settings,enable_agc_dispo_log
system_settings,custom_dialplan_entry
system_settings,queuemetrics_loginout
system_settings,callcard_enabled
system_settings,queuemetrics_callstatus
system_settings,default_codecs
system_settings,custom_fields_enabled
system_settings,admin_web_directory
system_settings,label_title
system_settings,label_first_name
system_settings,label_middle_initial
system_settings,label_last_name
system_settings,label_address1
system_settings,label_address2
system_settings,label_address3
system_settings,label_city
system_settings,label_state
system_settings,label_province
system_settings,label_postal_code
system_settings,label_vendor_lead_code
system_settings,label_gender
system_settings,label_phone_number
system_settings,label_phone_code
system_settings,label_alt_phone
system_settings,label_security_phrase
system_settings,label_email
system_settings,label_comments
system_settings,slave_db_server
system_settings,reports_use_slave_db
system_settings,webphone_systemkey
system_settings,first_login_trigger
system_settings,hosted_settings
system_settings,default_phone_registration_password
system_settings,default_phone_login_password
system_settings,default_server_password
system_settings,admin_modify_refresh
system_settings,nocache_admin
system_settings,generate_cross_server_exten
system_settings,queuemetrics_addmember_enabled
system_settings,queuemetrics_dispo_pause
system_settings,label_hide_field_logs
system_settings,queuemetrics_pe_phone_append
system_settings,test_campaign_calls
system_settings,agents_calls_reset
system_settings,voicemail_timezones
system_settings,default_voicemail_timezone
system_settings,default_local_gmt
system_settings,noanswer_log
system_settings,alt_log_server_ip
system_settings,alt_log_dbname
system_settings,alt_log_login
system_settings,alt_log_pass
system_settings,tables_use_alt_log_db
system_settings,did_agent_log
system_settings,campaign_cid_areacodes_enabled
system_settings,pllb_grouping_limit
system_settings,did_ra_extensions_enabled
system_settings,expanded_list_stats
system_settings,contacts_enabled
system_settings,svn_version
system_settings,call_menu_qualify_enabled
system_settings,admin_list_counts
system_settings,allow_voicemail_greeting
system_settings,audio_store_purge
system_settings,svn_revision
system_settings,queuemetrics_socket
system_settings,queuemetrics_socket_url
system_settings,enhanced_disconnect_logging
system_settings,allow_emails
system_settings,level_8_disable_add
system_settings,pass_hash_enabled
system_settings,pass_key
system_settings,pass_cost
system_settings,disable_auto_dial
system_settings,queuemetrics_record_hold
system_settings,country_code_list_stats
system_settings,reload_timestamp
system_settings,queuemetrics_pause_type
system_settings,frozen_server_call_clear
system_settings,callback_time_24hour
system_settings,active_modules
system_settings,allow_chats
system_settings,enable_languages
system_settings,language_method
system_settings,meetme_enter_login_filename
system_settings,meetme_enter_leave3way_filename
system_settings,enable_did_entry_list_id
system_settings,enable_third_webform
system_settings,chat_url
system_settings,chat_timeout
system_settings,agent_debug_logging
system_settings,default_language
system_settings,agent_whisper_enabled
system_settings,user_hide_realtime_enabled
system_settings,custom_reports_use_slave_db
system_settings,usacan_phone_dialcode_fix
system_settings,cache_carrier_stats_realtime
system_settings,oldest_logs_date
system_settings,log_recording_access
system_settings,report_default_format
system_settings,alt_ivr_logging
system_settings,admin_row_click
system_settings,admin_screen_colors
system_settings,ofcom_uk_drop_calc
system_settings,agent_screen_colors
system_settings,script_remove_js
system_settings,manual_auto_next
system_settings,user_new_lead_limit
system_settings,agent_xfer_park_3way
system_settings,rec_prompt_count
system_settings,agent_soundboards
system_settings,web_loader_phone_length
system_settings,agent_script
system_settings,vdad_debug_logging
system_settings,agent_chat_screen_colors
system_settings,enable_auto_reports
system_settings,enable_pause_code_limits
system_settings,enable_drop_lists
system_settings,allow_ip_lists
system_settings,system_ip_blacklist
system_settings,agent_push_events
system_settings,agent_push_url
system_settings,hide_inactive_lists
system_settings,allow_manage_active_lists
system_settings,expired_lists_inactive
system_settings,did_system_filter
system_settings,anyone_callback_inactive_lists
system_settings,enable_gdpr_download_deletion
system_settings,source_id_display
system_settings,help_modification_date
system_settings,agent_logout_link
system_settings,manual_dial_validation
